AuthorsTitle,JournalProceedings,PlacePages
"Niewöhner, Ph., L. Audlrey-Miller and W. Prochaska (2013). ‘Marbles, Quarries and Workrshops on the Highlands of Northern Macedonia’, ",Archäologischer Anzeiger,", 95–145."
"Prochaska, W. (2013). ‘A Sculptural Marble of Prime Quality in Antiquity – The Dolomitic Marble of the Sivec Mountains in Macedonia’, ",Archaeometry," 55 (2), 179–197."
"Russell, B. (2013). ",Gazetteer of Stone Quarries in the Roman World,. Version 1.0. [Online: www.romaneconomy.ox.ac.uk/databases/stone_quarries_database/]
"Tomović, M. (1993). ",Roman Sculpture in Upper Moesia,. Belgrade.
"Téglás, G. (1889). ‘Römischer Marmorbruch im Bisztrathale’, ",Földtani Közlöny," XIX, 209–212."
"Müller, H. W., B. Schwaighoffer, M. Benea, I. Piso, and A. Diaconescu (1999), 'Marbles in the Roman province of Dacia', in M. Schvoerer (ed.), ",Archéomatériaux: marbres et autres roches,". Bordeaux, 131-40."
"Müller, W. H. et al. (2012). ",Der Marmor im Römischen Dakien,. Cluj-Napoca.
"Rižnar, I. and D. Jovanović (2006). ‘Stone material of regional provenance from Sirmium’,.",Starinar ,"LVI, 139–152."
"Djurić, B., Davidović, J., Maver, A. and H. W. Müller (2006). ‘Stone use in Roman towns: Resources, transport, products and clients: Case study Sirmium: First report’,",Starinar ,"LVI, 103–137."
"Djurić, B., Davidović, J., Maver, A. and I. Rižnar (2007). ‘Stone use in Roman towns: Resources, transport, products and clients: Case study Sirmium: Second report’, ",Starinar ,"LVII, 83–100."
"Djurić, B., Maver, A., Rižnar, I., Jovanović, D. and J. Davidović (2012). ‘Sirmium’s main limestone quarry at Dardagani (Bosnia and Herzegovina)’, in Gutierrez Garcia-Moreno, A., Lapuente Mercadal, P. and I. Roda de Llanza (eds), ",Interdisciplinary Studies on Ancient Stone. ASMOSIA IX ,"(Documenta 23). Tarragona, 471–479."
"Djurić, B. (2020). ‘Roman sarcophagus from Titel’,",Starinar,"LXX, 201–223."
"Ostojić, M., Hadžihasanović, J. and A. Kaljanac (forthcoming). 'Novel method of documentation of Roman quarries by use of Lidar technology', in Djurić, B., Zanier, K. and R. Brajkovič (eds), ","ASMOSIA XIV, Proceedings of the Fourteenth International Conference on the Study of Marble and Other Stones in Antiquity, Ljubljana 15–20 September 2025.",
"Keramitčiev, A. (1987). ‘Eksplotacija na mermertite vo antičko vreme’, ",Macedonia Acta Archaelogica," 7-8, 109–124."
"Popović, M. (2006). ",The Fortress of Belgrade,. Belgrade.
"Nikolić, E. (2013). ‘Contribution to the Study of Roman Architecture in Viminacium: Construction Materials and Building Techniques’, in Korać, M. (ed.), ",Arheologija i prirodne nauke," 8/2012. Belgrade, 21–48."
"Knezović, I. (2012). ‘Construction Materials and Techniques’, in Migotti (ed.),", The Archaeology of Roman Southern Pannonia ,"(BAR International Series 2393). Oxford, 225–250."
"Migotti, B., M. Šašel Kos Jamison and I. Radman-Livaja (2018) eds. ","Roman Funerary Monuments of South-Western Croatia in their Material Culture, Social and Religious Context",. Oxford.
"Lilčić, V. (2001). ","Makedonskiot kamen za bogovite Hristjanite i za život po životot. Antićka kamena arhitektonska plastika vo Republika Makedonija, 1 Tom, Rana i zrela antika",. Skopje.
"Basotova, M. (2019). ","Antični nagrobni spomeniki na območju mesta Scupi in na področju Kumanova: Izdelki, proizvodni cikli in kupci",. Published PhD thesis. Ljubljana.
"Mikulčić, I. (1982). ",Staro Skopje so okolnite tvrdini,. Skopje.
"Kanitz, F. P. (1899). ",Srbija: zemlja i stanovništvo od rimskog doba do kraja XIX veka,. Belgrade.
"Jovičić, M. I. (2019). ",Antički žrvnjevi iz rimskih provincija na tlu Srbije,. Published PhD thesis. Belgrade.
"Jantsch, F. (1929).",Der Römersteinbruch in Gummern,". Carinthia I (119), Klagenfurt."
"Kieslinger, A. (1956). ",Die nutzbaren Gesteine Kärntens,". Carinthia II (17), Klagenfurt."
"Djurić, B. and H.W. Müller (2009). ‘White marbles in Noricum and Pannonia: an outline of the Roman quarries and their products’, in Jockey, P. (ed.), ","Leukos lithos: marbres et autres roches de la Méditerranée antique ; études interdisciplinaires ; actes du VIIIe Colloque International de l'Association for the Study of Marble and Other Stones Used in Antiquity (ASMOSIA), Aix-en-Provence, 12 - 18 juin 2006",". Paris, 111–128."
"Horvat, A. (1964). ‘Presjek razvoja umjetnosti u karlovačkom pokuplju’, ",Zbornik gradskog muzeja u Karlovcu ,"1, 25–26."
"Šarić, I. (1983). ‘Kamenolomi gdje su se u rimsko vrijeme izrađivali sarkofazi’, ",Vjesnik arheološkog muzeja u Zagrebu," 15, 43–58."
"Perkić, D. (2002). ‘Grad mrtvih u Bubijevoj jami kod Barilovića’, ",Histria Antiqua," 8, 103–130."
"Dobruna-Salihu, E. (2015). ‘The main quarries of the central part of Dardania (present Kosova) during the Roman period: their usage in funerary and cult monuments’, in Pensabene, P. and E. Gasparini (eds), ",Interdisciplinary Studies on Ancient Stone. ASMOSIA X,". Rome, 519–526. "
"Djurić, B., Kele, S. and I. Rižnar (2018a). ‘The Budakalász Travertine Production’, in Matetić Poljak, D. and K. Marasović (eds), ","Interdisciplinary Studies on Ancient Stone, ASMOSIA XI",". Split, 545–556."
"Djurić, B. (1997). ‘Eastern Alpine Marble and Pannonian Trade’, in Djurić, B. and I. Lazar (eds), ",Akten des IV. Internationalen Kolloquiums über Probleme des Provinzialrömischen Kunstschafens ,"(Situla 36). Ljubljana, 73–86."
"Prochaska, W. (2021). ‘The challenge of a successful discrimination of ancient marbles (part II): A databank for the Alpine marbles’, ",Journal of Archaeological Science: Reports ,"38, 102958."
"Djurić, B., Jarc, S., Lozić, E., Prochaska, W., Rižnar, I., Zanier, K. and N. Zupančič (2025). ‘The Pohorje Marble Quarry Complex of Šmartno/Frajhajm’, in Ladstätter, S., Prochaska, W. and V. Anevlavi (eds), ","Proceedings of the ASMOSIA XIII International Conference, Volume II",". Sonderschriften des Österreichischen Archäologischen Institut Band 65. Vienna, 397–408."
"Čerškov, E. (1970). ",Municipium DD kod Sočanice,. Prishtina.
"Crnković, B. and D. Jovičić (1993). ‘Dimension Stone Deposits in Croatia’, ",Rudarsko-geološko-naftni zbornik," 5, 139–163."
"Crnković, B. (1997). ‘Geological Structure and Petrographic Composition of Croatia’, ",Histria antiqua ,"3, 11–19."
"Burkowsky, Z. (1999). ","Sisak u prapovijesti, antici i starohrvatskom dobu",", Exhibition Catalogue, Sisak."
"Brunšmid, J. (1909). ‘Spomenici hrvatskog narodnog muzeja u Zagrebu’,",Vjesnik Hrvatskoga arheološkoga društva," Vol. X (1906-1907), 150–222."
"Brunšmid, J. (1907). ‘Kameni spomenici hrvatskog narodnog muzeja u Zagrebu’, ",Vjesnik Hrvatskoga arheološkoga društva," Vol. IX, 83–184."
"Degmedžič, I. (1957). ‘Sadržaj antiknih kamenih spomenika nađenih u Zagrebu i okolici’, ",Iz starog i novog zagreba ,"1, Zagreb, 91–117."
"Galić, M. and I. Radman-Livaja (2002). ‘Zaštitno istraživanje u Samoborskim Novakima 2000. Godine’, ",Vjesnik Arheološkog muzeja u Zagrebu," XXXI, 239–248."
"Braemer, F. (2004), 'Le rôle des pierres précieuses et nobles dans l'ornamentation dans l'Antiquité et le Haut Moyen Âge', in P. Chardron-Picault, et al. (eds.), ",Les roches décoratives dans l'architecture antique et du Haut Moyen Âge," (Archéologie et d'histoire de l'art, 16). Paris, 89–120."
"Zagorchev, I. (2014. ‘Rhodope evolution in the heart of Balkan geology’, in Cvetković V. (ed.), ","XVI Serbian Geological Congress, Donji Milanovac, May 22nd-25th 2014",". Beograd, 43–48."
"Prochaska, W. and M. Živić (2018). ‘The Marbles of the Sculptures of Felix Romuliana in Serbia’, in Matetić Poljak, D. and K. Marasović (eds), ","Interdisciplinary Studies on Ancient Stone, ASMOSIA XI",". Split, 301–310."
"Andreeva, P., Anevlavi, V., Frerix, B., Cenati, C., Prochaska, W., Ladstätter, S. and K. Karadimitrova (2024). ‘A contribution to the urbanization and marble supply of Roman Thrace: an interdisciplinary study’, ",Archaeological and Anthropological Sciences,", Vol. 16: 23, https://doi.org/10.1007/s12520-023-01920-3."
"Bitrakova-Grozdanova, V. and A. Nikoloska (2015). ‘Several Decorated Sarcophagi from Macedonia’, in Porod, B. and G. Koiner (eds), ",Römische Sarkophage: Akten des Internationalen Werkstattgesprächs," 11.–13. Oktober 2012. Graz, 256–43."
"Babić, B. (1972). ‘Arheološki tragovi iz antičkog i srednjevekovnog perioda u Prilepskem kraju’, ",Materiali," 9, 21–38."
